Member,Values,Condition
1001.001,71,Above
1001.001,141,Below
1031.002,118,Above
1031.002,144,Below
1041.003,136,Below
1061.004,144,Below
1071.004,110,Above
1091.005,21,Below
1091.005,116,Above
1091.005,140,Below
1101.006,116,Above
1111.006,57,Above
1111.006,144,Below
1121.007,144,Below
1131.007,34,Above
1131.007,118,Above
1131.007,142,Below
1141.008,107,Above
1151.008,103,Above
1151.008,143,Below
1161.009,142,Below
1171.009,106,Above
1171.009,136,Below
1181.010,116,Above
1231.001,51,Above
1231.001,104,Above
1231.001,142,Below
1231.002,51,Above
1231.003,79,Below
1231.003,124,Above
1231.004,52,Above
1231.004,81,Below
1231.005,92,Above
1231.005,141,Below
1231.006,113,Above
1231.008,54,Above
1231.008,81,Below
1231.008,104,Above
1231.009,138,Below
1231.010,110,Above
1231.010,141,Below
1231.011,26,Below
1231.011,63,Above
1231.011,143,Below
1231.012,144,Below
1231.013,118,Above
1231.014,116,Above
1231.014,142,Below
1231.015,112,Above
1231.015,140,Below
1231.017,50,Above
1231.017,112,Above
1231.017,136,Below
1231.018,112,Above
1231.020,55,Above
1231.020,115,Above
1251.001,140,Below
1251.002,45,Above
1251.002,134,Below
1251.003,115,Above
1251.003,141,Below
1251.004,54,Above
1251.005,143,Below
1251.006,88,Above
1251.007,41,Above
1251.007,110,Above
1251.007,132,Below
1251.008,143,Below
1251.009,61,Above
1251.009,101,Above
1251.009,139,Below
1251.010,52,Above
1251.011,117,Above
1251.012,20,Below
1251.012,97,Above
1251.013,121,Above
1251.014,144,Below
1251.016,108,Above
1251.016,144,Below
1251.017,48,Above
1251.017,109,Above
1251.017,134,Below
1251.018,105,Above
1251.019,139,Below
1281.002,32,Above
1281.002,62,Above
1281.002,86,Below
1281.002,106,Above
1281.002,144,Below
1281.004,42,Above
1281.004,110,Above
1281.004,137,Below
1281.005,36,Above
1281.005,112,Above
1281.005,140,Below
1281.006,137,Below
1281.008,33,Above
1281.008,114,Above
1281.009,36,Above
1281.010,28,Above
1281.010,116,Above
1281.011,92,Above
1281.011,143,Below
1281.012,21,Above
1281.013,107,Above
1281.015,109,Above
1281.016,91,Above
1281.016,141,Below
1281.017,39,Above
1281.017,117,Above
1281.017,144,Below
1281.018,108,Above
1281.018,144,Below
1281.019,43,Above
1281.019,117,Above
1281.020,76,Above
1281.020,99,Above
1301.001,52,Above
1301.001,139,Below
1301.002,141,Below
1301.004,29,Above
1301.004,134,Below
1301.005,51,Above
1301.005,142,Below
1301.006,142,Below
1301.007,116,Above
1301.007,141,Below
1301.008,64,Above
1301.008,104,Above
1301.009,143,Below
1301.010,118,Above
1301.010,141,Below
1301.011,40,Above
1301.011,114,Above
1301.012,20,Above
1301.013,49,Above
1301.013,141,Below
1301.014,55,Above
1301.014,143,Below
1301.015,26,Above
1301.015,74,Below
1301.015,109,Above
1301.015,144,Below
1301.017,107,Above
1301.017,144,Below
1301.018,99,Above
1301.019,31,Above
1301.019,113,Above
1301.019,143,Below
1301.020,142,Below
